	classnumber	day_of_year	genus	lat	lon	name	precipProbability	precipProbabilityPreviousDay	precipProbabilityPreviousDay2	precipProbabilityPreviousDay7	pressure	temperatureMax	temperatureMaxPrevDay1	temperatureMaxPrevDay2	temperatureMaxPrevDay7	temperatureMin	temperatureMinPrevDay1	temperatureMinPrevDay2	temperatureMinPrevDay7	time_observed_at
22923068	2	112	Panthera	21.1826493782	-101.7479968152	Panthera	0.0	0.01	0.0	0.01	1012.73	84.68	85.65	83.65	83.89	52.52	54.18	49.78	48.56	2019-04-22 20:48:26
22745810	2	110	Panthera	23.0813246	120.0625855	Panthera	1.0	1.0	0.13	0.23	1009.57	85.71	82.83	80.8	78.11	69.5	67.35	70.25	69.62	2019-04-20 08:24:37
24064365	2	104	Panthera	-16.5027977863	-68.1797693779	Panthera	0.23	0.25	0.59	0.22	1012.72	63.23	59.68	58.16	56.21	28.06	31.6	38.6	38.58	2019-04-14 14:46:42
26283782	2	100	Panthera	28.0219131183	-82.5923857699	Panthera	0.76	0.98	0.5700000000000001	0.0	1008.85	81.87	84.02	86.8	80.0	68.14	71.94	71.12	55.64	2019-04-10 14:24:33
22003789	2	93	Panthera	20.7997219481	-103.3595781259	Panthera	0.01	0.01	0.0	0.04	1014.88	87.03	88.36	88.59	89.68	56.16	51.62	55.39	59.3	2019-04-03 23:25:22
21635259	2	85	Panthera	51.9699437185	0.9971098403	Panthera	0.06	0.03	0.02	0.21	1033.29	51.52	52.87	55.52	55.89	33.88	37.14	36.12	36.94	2019-03-26 10:42:50
25558275	2	68	Panthera	-7.0828051567	107.9159393311	Panthera	0.77	0.6900000000000001	0.89	0.97	1012.17	85.5	87.2	82.17	83.06	69.02	68.09	67.5	69.17	2019-03-09 04:41:58
23048104	2	32	Panthera	22.599578	113.973129	Panthera	0.05	0.36	0.07	0.02	1022.24	70.62	77.77	73.39	73.72	59.74	64.41	58.46	55.86	2019-02-01 07:02:00
18997705	2	347	Panthera	44.6509374832	-93.1826562214	Panthera	0.14	0.0	0.0	0.0	1018.05	30.27	27.6	25.99	20.85	22.97	22.24	10.39	5.03	2018-12-13 16:45:00
18413987	2	319	Panthera	-12.0753671369	-76.9625100308	Panthera	0.04	0.05	0.08	0.05	1014.0	72.59	72.94	72.77	73.2	61.34	61.32	61.39	63.4	2018-11-15 19:40:09
17753422	2	295	Panthera	20.6385178641	-103.2457617153	Panthera	0.75	0.74	0.73	0.92	1012.69	70.79	73.09	77.67	74.36	60.09	62.11	61.61	61.66	2018-10-22 20:53:58
17357479	2	282	Panthera	31.9017081409	-100.4856810252	Panthera	1.0	1.0	0.89	0.1	1005.74	76.59	75.97	78.75	87.48	58.67	64.26	65.84	67.78	2018-10-09 19:40:59
15274674	2	221	Panthera	32.733795	-117.1511083333	Panthera	0.19	0.07	0.03	0.12	1012.46	86.32	87.09	87.09	81.66	74.22	71.53	70.21	71.41	2018-08-09 23:08:32
13115497	2	155	Panthera	19.4000761792	-99.2065844387	Panthera	0.0	0.0	0.0	0.0	1015.0	79.55	76.88	79.55	84.97	54.62	57.36	57.85	54.05	2018-06-04 16:05:37
12269963	2	128	Panthera	39.74764419	-104.90521883	Panthera	0.0	0.0	0.0	0.0	1013.69	77.36	80.08	78.15	64.13	52.57	51.5	49.11	46.98	2018-05-08 17:42:20
10768501	2	100	Panthera	30.5062126927	-97.7223693487	Panthera	0.0	0.0	0.0	0.0	1024.83	74.17	63.29	64.77	79.82	49.54	51.59	38.91	61.66	2018-04-11 04:02:32
17763097	2	97	Panthera	20.6774989497	-103.3868889651	Panthera	0.0	0.0	0.0	0.0	1015.0	86.16	86.02	87.55	83.68	47.02	51.13	49.27	53.35	2018-04-07 09:32:53
10308453	2	76	Panthera	34.0274161427	-117.8019435146	Panthera	0.63	0.6000000000000001	0.75	0.89	1015.94	59.23	58.56	62.7	58.97	47.22	47.17	49.64	55.4	2018-03-17 13:57:09
9065251	2	340	Panthera	50.4094957231	-3.9988336712	Panthera	1.0	0.0	0.53	0.54	1026.18	51.5	47.25	48.42	44.28	47.2	42.6	42.31	32.92	2017-12-06 12:33:09
8883881	2	325	Panthera	-25.3343082452	27.1447266173	Panthera	0.0	0.0	0.0	0.0	1015.0	95.62	93.79	90.21	91.96	68.59	64.02	53.54	66.79	2017-11-21 07:58:58
5857197	2	109	Panthera	32.4404072156	-99.6930209176	Panthera	0.0	0.0	0.0	0.0	1012.3	85.04	82.37	83.3	70.88	62.39	56.16	61.64	59.35	2017-04-19 19:32:56
5857338	2	109	Panthera	32.441015354	-99.6933284703	Panthera	0.0	0.0	0.0	0.0	1012.3	85.04	82.38	83.3	70.89	62.39	56.17	61.64	59.36	2017-04-19 19:19:53
5856866	2	109	Panthera	32.4409064837	-99.6916706768	Panthera	0.0	0.0	0.0	0.0	1012.3	85.04	82.38	83.3	70.89	62.39	56.17	61.64	59.36	2017-04-19 19:15:52
5612301	2	51	Panthera	49.1218416667	20.3564383333	Panthera	0.0	0.0	0.0	0.0	1015.0	39.86	37.97	35.81	39.27	25.73	29.03	25.6	18.94	2017-02-20 10:17:35
